title,price,marcas
"Smartphone Motorola Moto G15 256GB Verde 4G 6GB 6,7"" Câm. Dupla Selfie 8MP",2249.1,Motorola
"Smartphone Samsung Galaxy A15 6,5"" 128GB Azul Escuro 4G 4GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip",691.2,Samsung
"Apple iPhone 15 128GB Azul 6,1"" 48MP iOS 5G",691.2,Apple
"Smartphone Motorola Moto g24 Power 128GB, 4GB RAM, 4GB Ram Boost, AI Camera 50MP, Bateria 6000 mAh",1619.1,Motorola
"Smartphone Motorola Moto G34 128GB Azul 5G 4GB RAM Boost 6,5"" Câm. Dupla + Selfie 16MP Dual Chip",679.0,Motorola
"Smartphone Motorola G04s 4G 128GB 4 GB RAM + 4GB RAM Boost Tela 6,6"" Câmera 50MP e Frontal 5MP Coral",898.2,Motorola
"Smartphone Motorola Moto G84 256GB Magenta 5G Snapdragon 695 8GB RAM 6,55"" Câm. Dupla + Selfie 16MP Dual Chip",939.0,Motorola
"Smartphone Samsung Galaxy A56 128GB 5G 8GB RAM Preto 6,7"" Câm Tripla + Selfie 12MP",836.1,Samsung
"Celular Samsung Galaxy M15 5G, 6.000mAh, Câmera Tripla até 50MP, 128GB",5299.0,Samsung
"Smartphone Samsung Galaxy S24 Ultra 6,8"" Galaxy AI 256GB Titânio Cinza 5G 12GB RAM Câm. Quádrupla 200MP + Selfie 12MP Bateria 5000mAh Dual Chip",1099.0,Samsung
"Smartphone Samsung Galaxy A16 128GB Verde Claro 5G 4GB RAM 6,7"" FHD+ Câm Tripla até 50MP + Selfie 13MP Bateria 5000mAh",809.1,Samsung
"Celular Samsung Galaxy A16 5G, 256GB + 8GB RAM, Câmera de até 50MP, Tela 6.7"", NFC, IP54, Bateria 5000 mAh",1749.0,Samsung
Smartphone Motorola Moto G35 5G 256GB 12GB Ram Boost e Camera 50MP com AI NFC Tela 6.7 com Superbrilho,1799.1,Motorola
Smartphone Motorola Moto G75 5G 256GB 16GB Ram Boost 50MP Sony Camera Moto AI Ultrarresistencia Militar,825.55,Motorola
"Celular Samsung Galaxy M35 5G, Câmera Tripla até 50MP, Selfie 50MP, Tela Super AMOLED + 6.6 120Hz, 256GB, 8GB RAM",4449.0,Samsung
"Smartphone Positivo S650 Twist 5 Max 128GB Chumbo 4G Octa-Core 2GB RAM 6,5"" Câm. Dupla + Selfie 8MP Dual Chip",679.15,Positivo
Smartphone xiaomi redmi 13c 4gb 128gb azul,881.1,Xiaomi
"Celular Samsung Galaxy A16, 256GB + 8GB RAM, Câmera de até 50MP, Tela 6.7"", NFC, IP54, Bateria 5000 mAh",679.0,Samsung
Smartphone Xiaomi Redmi Note 14 8GB 256GB,1349.1,Xiaomi
"Celular Realme C75 4G 256GB 8GB RAM Tela 6,72DOURADO",2159.1,Realme
Smartphone Navcity NP-752 Branco - Android 11 e Dual Chip,1052.1,Navcity
"Smartphone Samsung Galaxy A35 5G 128GB 6GB RAM Tela 6,6"" Câmera Tripla 50MP Frontal 13MP Azul Escuro",5823.0,Samsung
Smartphone Moto G15 256GB Grafite Vegan Leather Tela 6.7 Câmera Dupla 50MP Selfie 8MP Dual Chip Android 15 Motorola,1169.1,Motorola
Smartphone Moto G15 256GB Verde Vegan Leather Tela 6.7 Câmera Dupla 50MP Selfie 8MP Dual Chip Android 15 Motorola,1161.57,Motorola
"Smartphone Motorola Moto g34 5G 128GB, 4GB RAM, 4GB Ram Boost, AI Camera 50MP, NFC",1177.88,Motorola
Smartphone TCL L5 16GB Preto 4G Quad-Core,1499.99,TLC
"Smartphone Motorola Moto G54 5G 256GB + 8 GB RAM Verde Camera 50 MP OIS + 2 MP Frontal 16MP Tela 6,5 IPS Bateria 5000 mAh",1529.1,Motorola
Smartphone Samsung Galaxy A25 5G 8GB RAM 256GB Tela de 6.5,539.1,Samsung
"Smartphone Samsung Galaxy A06 128GB 4GB RAM 6,7"" Branco",862.1,Samsung
"Smartphone Motorola Edge 40 Neo 256GB 5G 8GB RAM Rosa 6,55"" Câm. Dupla + Selfie 32MP Dual Chip",1077.87,Motorola
"Smartphone Samsung Galaxy Z Flip6 256GB Cinza 5G - Tela dobrável de 6.7"" e 12GB de RAM",1459.06,Samsung
"Celular Samsung Galaxy A15 128GB, 4GB RAM, Tela Infinita de 6.5""",1399.07,Samsung
Smartphone Motorola Moto G35 5G 256GB 12GB Ram Boost e Camera 50MP com AI NFC Tela 6.7 com Superbrilho,1349.0,Motorola
"Celular Samsung Galaxy A26 5G 256GB, 8GB RAM, Câmera de 50MP, IP67, Tela Super AMOLED 6.7"", NFC",967.14,Samsung
Smartphone Samsung Galaxy A16 128GB Cinza,967.14,Samsung
Smartphone Xiaomi Redmi 14C 256GB 4+4GB RAM VIRTUAL Azul,849.15,Xiaomi
"Smartphone Samsung Galaxy A15 6,5"" 128GB Verde Claro 5G 4GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip",359.99,Samsung
"Celular Realme C75 4G 256GB 8GB RAM Tela 6,72 PRETO",1299.99,Realme
Smartphone Motorola Moto G05 128GB 12GB (4GB RAM + 8GB Ram Boost) Camera 50MP AI Bateria 5200 mAh Tela 6.7,1429.99,Motorola
Smartphone Xiaomi Redmi Note 14 256GB 8GB RAM Dual SIM Tela 6.67,735.9,Xiaomi
Smartphone Motorola Edge 50 Neo 5G 256GB 16GB Ram Boost 50MP Sony Câmera Moto AI IP68 NFC,1709.1,Motorola
"Smartphone Note14 PRO NFC Câmera tripla 200MP / 32mp frontal 256GB tela AMOLED 120Hz FHD plus, Design e Performance celular Premium",4184.07,Unity
"Smartphone Motorola Edge 50 5G 256GB, 12GB RAM, 12GB Ram Boost, 50MP Sony Camera, Moto AI, Ultrarresistencia militar",1044.05,Motorola
"Smartphone Samsung Galaxy Z Flip6 512GB Azul 5G - Tela dobrável de 6.7"" e 12GB de RAM",779.0,Samsung
"Smartphone Infinix Note 40 5G 256GB 8GB 6,78'' FHD+ Preto",1177.88,Infinix
Smartphone Motorola Moto G75 5G 256GB 16GB Ram Boost 50MP Sony Camera Moto AI Ultrarresistencia Militar,1519.05,Motorola
"Smartphone Samsung Galaxy A05s 6,7"" 128GB 6GB 4G Prata",969.99,Samsung
Smartphone Xiaomi Redmi Note 13 5G 8GB Ram 256GB,944.99,Xiaomi
"Celular Samsung Galaxy A56 5G 256GB, 8GB RAM, Câmera 50MP, IP67, Super AMOLED 6.7"", Recursos AI",989.1,Samsung
"Smartphone Samsung Galaxy A56 256GB - Cinza, 5G, Câmera Tripla 50MP, RAM 8GB, Tela 6.7""",2249.1,Samsung
"Celular Samsung Galaxy A16 5G, 128GB + 4GB RAM, Câmera de até 50MP, Tela 6.7"", NFC, IP54, Bateria 5000 mAh",691.2,Samsung
"Smartphone Motorola Moto G24 4G 256GB 4GB RAM Câmera Traseira 50MP + 2MP Selfie 8MP 6.6"" Rosa",952.74,Motorola
Celular C75 256GB 8GB RAM Dual SIM Tela 6.74 Dourado,1022.07,Tablet
"Smartphone Samsung Galaxy S23 Ultra 256GB Preto 5G 12GB RAM 6,8” Câm. Quádrupla + Selfie 12MP",2324.07,Samsung
"Smartphone Samsung Galaxy S24 FE 128GB Grafite 5G 8GB RAM 6,7"" Câm. Tripla + Selfie 10MP",1499.99,Samsung
"Smartphone Motorola Moto G75 256GB Cinza 5G 8GB RAM 6,8"" Câm. Dupla Selfie 16MP",2510.07,Motorola
"Smartphone Motorola Moto g35 128GB Verde 5G 6GB RAM 6,7"" Câm. Dupla Selfie 16MP",1022.07,Motorola
"Smartphone Samsung Galaxy A35 5G 128GB 6GB RAM Tela 6,6"" Câmera Tripla 50MP Frontal 13MP Azul Escuro",1187.99,Samsung
"Smartphone Motorola Edge 50 Neo 256GB Latte (Marrom) 5G 8GB RAM 6,4"" Câm. Tripla + Selfie 32MP",1552.17,Motorola
Celular Realme Note 60 Dual Sim 128 Gb 4 Gb Ram Smartphone,789.57,Realme
"Smartphone Samsung Galaxy A36 128GB 5G 6GB RAM Preto 6,7"" Câm. Tripla + Selfie 12MP",849.15,Samsung
"Celular Samsung Galaxy S24+, 256GB, 12GB de RAM, Tela de 6.7"", Galaxy AI",823.95,Samsung
Celular Realme C63 128gb Dual Sim 6gb Smartphone Original,1799.99,Realme
"Celular Samsung Galaxy A06 (128GB), 4GB RAM, Tela 6.7"", Câm. Traseira 50+2MP, Frontal 8MP",849.15,Samsung
"Apple iPhone 14 128GB Estelar 6,1” 12MP iOS 5G",975.57,Apple
Smartphone Xiaomi Redmi 14C 128GB 4GB/4GB RAM VIRTUAL,3999.0,Xiaomi
Smartphone Xiaomi Redmi Note 14 256GB 8/8GB RAM VIRTUAL Dual SIM Tela 6.67,2799.0,Xiaomi
Celular Smartphone Poco X7 Pro 5G 512GB 12GB RAM Dual SIM Tela 6.67 Preto,1449.0,X7pocopro
"Smartphone OPPO A40 256GB Vinho 4GB RAM 6,7"" Câm. 50MP + Selfie 5MP",989.1,Oppo
Smartphone Xiaomi Poco X6 Pro 12gb 512gb Preto,1349.0,Xiaomi
Smartphone Xiaomi Redmi Note 13 8gb Ram 256gb Azul,1855.0,Xiaomi
Smartphone Xiaomi Poco X6 Pro 12gb 512gb Preto,836.07,Xiaomi
"Smartphone Motorola Moto G54 256GB Verde 5G 8GB RAM 6,5"" Câm. Dupla + Selfie 16MP Dual Chip",1799.1,Motorola
Smartphone Realme C75 256GB 16GB RAM BOOST IP69 Prova dágua 6000mAh Câmera dupla 50MP Celular Resistente e Poderoso com Design Premium,3599.1,Realme
"Smartphone Galaxy M55 5G, 256GB, Tela 6.7"", Câmeras 50MP+8MP+2Mp, Azul Escuro, SM-M556BZKMZTO, SAMSUNG SAMSUNG",1022.07,Samsung
Smartphone Xiaomi Poco X7 Pro 5G 12gb 512gb Preto,789.57,Xiaomi
"Smartphone Infinix Smart 8 Pro 256GB Preto 4GB RAM 6,6"" Câm. 50MP + Selfie 8MP Dual Chip",4229.1,Infinix
Smartphone Motorola Moto G35 5G 128GB 12GB Ram Boost e Camera 50MP com AI NFC Tela 6.7 com Superbrilho,870.32,Motorola
Smartphone Xiaomi Redmi Note 14 256GB 8GB RAM VIRTUAL Dual Tela 6.67,1440.57,Xiaomi
Smartphone Realme Note 50 RMX3834 3GB de RAM / 64GB / Tela 6.74 / Dual Sim LTE - Sky Azul,2967.84,Realme
"Smartphone Infinix Hot 20 128GB Preto 5G MediaTek Dimensity 810 4GB RAM 6,6"" Câm. Dupla + Selfie 8MP Dual Chip",1169.1,Infinix
Smartphone Xiaomi Redmi Note 13 5G 8GB Ram 256GB Preto,2390.09,Xiaomi
Smartphone Xiaomi Redmi 14C 256GB 4+4GB RAM VIRTUAL Preto,1394.99,Xiaomi
Smartphone Xiaomi Redmi Note 14 256GB 8/8GB RAM VIRTUAL Dual SIM Tela 6.67,2294.99,Xiaomi
Smartphone X7 5G 512GB / 256GB Lançamento 2025 NFC tela Amoled 120 Hz Câmera tripla 4K 50MP OIS Design Premium Top de linha proteção IP68,1439.1,Unity
"Smartphone Motorola Moto G82 128GB Branco 5G Octa-Core 6GB RAM 6,6” Câm. Tripla + Selfie 16MP",1637.91,Motorola
"Smartphone Motorola Moto G24 128GB Dual Chip 4G Tela 6,6"" Câmera Dupla 50MP+2MP Rosa",1727.85,Motorola
"Smartphone OPPO A79 256GB Preto 5G 8GB + 8GB (RAM+) 6,72"" Câm. 50MP + Selfie 8MP Dual Chip",2892.21,Oppo
Smartphone Samsung Galaxy A06 128GB 4G Tela 6.7 Câmera Dupla 50MP Selfie 8MP Dual Chip Android 14,809.1,Samsung
Smartphone Xiaomi Redmi 14C 256GB 4 4GB RAM VIRTUAL,952.74,Xiaomi
"Smartphone Infinix Hot 30i 128GB Preto 4G MediaTek 8GB RAM 6,6"" Câm. 50MP + Selfie 5MP Dual Chip",1349.54,Infinix
Smartphone C75 NFC 256GB e 128GB 12GB RAM câmera tripla 50MP + 8MP tela 120Hz HD+ 6.8'' Premium Design Lançamento versão Global,695.19,Unity
Smartphone Realme C65 256 GB 8GB RAM Tela 6.5 50MP com NFC,719.1,Realme
Smartphone Xiaomi Redmi Note 13 8gb Ram 256gb,1592.99,Xiaomi
Celular Realme Note 60 Dual Sim 128 Gb 4 Gb Ram Smartphone Voyage Blue,944.99,Realme
"Smartphone Motorola Moto G55 5G 256GB 16GB RAM Boost Câmera Traseira Dupla 50MP + 8MP Selfie 16MP Tela 6.5"" Preto",1433.52,Motorola
"Smartphone Motorola Moto G60 128GB Preto 4G 4GB RAM Tela 6,8” Câm. Tripla + Selfie 32MP",2384.1,Motorola
Smartphone Motorola Moto E14 Dual Sim De 64gb / 2gb Ram De 6.56 13mp / 5mp,1529.1,Motorola
"Smartphone Samsung Galaxy M55 5G 256GB 8GB 6,7"" Azul Escuro",2249.1,Samsung
"Apple iPhone 13 128GB Meia-noite Tela 6,1” 12MP",691.2,Apple
"Smartphone Samsung Galaxy A25 6,5"" 256GB Azul Escuro 5G 8GB RAM Câm Tripla 50MP + Selfie 13MP Bateria 5000mAh Dual Chip",1359.99,Samsung
"Smartphone Samsung Galaxy S24 FE 128GB 5G 8GB RAM Grafite 6,7"" Câm. Tripla + Selfie 10MP",758.57,Samsung
"Smartphone Motorola Moto G05 128GB Cinza 4G 6GB RAM 6,7"" 50MP Selfie 8MP",2324.07,Motorola
"Smartphone Xiaomi Redmi Note 14 256GB 8GB RAM Dual SIM Tela 6.67"" - Preto",899.1,Xiaomi
Smartphone Xiaomi Redmi 14C 256GB 4+4GB RAM VIRTUAL Preto,1449.0,Xiaomi
"Smartphone Motorola Moto G22 128GB Verde 4G 4GB RAM Tela 6,5"" Câm. Quádrupla + Selfie 16MP",3598.99,Motorola
Smartphone Xiaomi Redmi Note 13 8gb Ram 256gb Preto,4299.0,Xiaomi
Smartphone Xiaomi Redmi Note 14 256GB 8GB RAM VIRTUAL Dual Tela 6.67,3498.99,Xiaomi
"Smartphone Xiaomi Redmi Note 14 Pro 4G 256GB 8GB RAM Dual SIM Tela 6.67"" - Preto - Xioami",8499.0,Xiaomi
Smartphone Xiaomi Redmi 14C 128GB 4GB/4GB RAM VIRTUAL,10799.1,Xiaomi
Samsung Galaxy S23 256 GB 5G Preto 8 GB RAM,1074.15,Samsung
Smartphone Motorola Edge 60 Fusion 5G 256GB 24GB 8GB RAM16GB Ram Boost moto AI 50MP Sony Camera Ultraresistencia militar IP68 NFC,1046.24,Motorola
"Smartphone Motorola Moto G53 128GB Grafite 5G Snapdragon 480+ Octa-Core 4GB RAM 6,5"" Câm. Dupla + Selfie 8MP Dual Chip",1484.1,Motorola
Smartphone Realme C61 RMX3930 256GB 8GB RAM Dual SIM NFC Tela 6.74 Dourado,2799.0,Realme
Smartphone Realme Note 50 4gb Ram 128 Azul,719.1,Xiaomi
"Apple iPhone 16 Plus 128GB Rosa 6,7"" 48MP iOS 5G",1444.99,Apple
Smartphone Xiaomi POCO X6 5G 256GB (12GB RAM) Black Preto,1087.06,Xiaomi
Smartphone Infinix Hot 50 16GB RAM 256GB câmera 50MP tela 120Hz celular Perfomance Gamer e Design Premium,989.1,Infinix
Smartphone Motorola Moto G85 5G Dual Sim Tela 6.7 8 GB RAM 256 GB Anatel,1394.99,Motorola
"Smartphone Note14 Câmera 108MP / 20mp frontal 256GB/128GB Tela AMOLED 120Hz FHD plus, Design e Performance celular Premium Certificação IP54",1403.37,Note
"Smartphone Motorola Moto G55 5G 256GB 16GB RAM Boost Câmera Traseira Dupla 50MP + 8MP Selfie 16MP Tela 6.5"" Rosa",2039.99,Motorola
"Smartphone 12 256GB 8GB RAM Dual SIM Tela 6.79"" - Azul",892.71,12
"Smartphone Xiaomi Redmi Note 13 512GB 8GB RAM Dual SIM Tela 6.67"" - Preto",3134.03,Xiaomi
Smartphone Motorola Moto G24 256GB 4GB RAM - Grafite + Ubook - Livros Digitais,2699.1,Motorola
LG K40S Dual SIM 32 GB new aurora black 3 GB RAM,1034.1,LG
Realme C61 256GB 8GB RAM Dual SIM NFC Tela 6.74 Dourado,1102.42,Realme
Smartphone Xiaomi POCO X6 5G 256GB (8GB RAM) Black Preto - Xioami,826.77,Xiaomi
Celular C75 256GB 8GB RAM Dual SIM Tela 6.74 Black Preto,6699.0,Tablet
Smartphone Xiaomi Redmi 13C 256GB - 8GB Ram (Midnight Black) Preto,1954.99,Xiaomi
"Smartphone Xiaomi Redmi Note 14 256GB 8GB RAM Dual SIM Tela 6.67"" - Azul",1159.2,Xiaomi
"iPhone 16 Pro Max Apple 256GB, Câmera Tripla de 48MP, Tela 6,9"", Titânio Preto",2144.58,Apple
"Smartphone Motorola Moto g75 5G Music Edition Moto Buds 256GB, 8GB RAM, 8GB Ram Boost, 50MP Sony Camera, Moto AI, Ultrarresistencia militar",1475.1,Motorola
Smartphone OPPO A60 256GB Branco 8GB,1469.65,Oppo
"Smartphone Xiaomi Poco C75 256GB 8GB RAM Dual SIM Tela 6.74"" (Black) Preto",1214.1,Xiaomi
"Smartphone OPPO Reno11 F 256GB Verde 5G 8GB RAM 6,7"" Câm. Tripla + Selfie 32MP Dual Chip",1495.99,Oppo
"Celular Realme C61 NFC câmera dupla 50MPX 128GB / 256GB + 6GB Ram Tela 6.74"" Global Dual Sim lançamento 2024",832.15,Realme
Smartphone Xiaomi Redmi 14C 128GB 4GB4GB RAM VIRTUAL,521.54,Xiaomi
Celular Do Idoso Smartphone Fácil Usar 32gb Botão Grande Zte,1062.49,ZTE
"Smartphone Samsung Galaxy A25 6,5"" 128GB Azul Escuro 5G 6GB RAM Câm Tripla 50MP + Selfie 13MP Bateria 5000mAh Dual Chip",2092.49,Samsung
"Samsung Galaxy S25 5G 256GB Galaxy AI Azul Marinho 6,2"" 12GB RAM Câm. Tripla 50+12+10MP Bateria 4000mAh Dual Chip",975.57,Samsung
Smartphone Xiaomi Redmi Note 13 8gb Ram 256gb,1099.99,Xiaomi
"Smartphone M6 PRO NFC 512GB /256GB Câmera 64mp OIS / 16MP frontal Tela AMOLED 120Hz FHD plus, celular Premium Design e Performance",1444.99,M6
Xiaomi Redmi 14C 8GB RAM 256GB RAM Azul,10338.89,Xiaomi
Smartphone Cubot KINGKONG ES - 6GB RAM + 128GB ROM - Android 14,1699.15,Cubot
Realme C61 NFC câmera dupla 50MPX Tela 6.74 Global Dual Sim lançamento 2024,1709.1,Realme
"Smartphone Motorola Moto g35 5G 256GB, 4GB RAM, 8GB Ram Boost, Camera 50MP com AI, NFC, Tela 6.7 com Superbrilho",1062.49,Motorola
"Smartphone Xiaomi Poco C75 256GB 8GB RAM Dual SIM Tela 6.74"" - Dourado",2249.1,Xiaomi
